Accession2,gene,totalCount,CountX,CountY,meanX,meanY,type,comparison,log10X,log10Y
MMAR_0002,dnaN,15,9,6,29003.6328,115240.568333333,Secreted,∆eccCb1,4.46245239811218,5.06160539142911
MMAR_0003,recF,9,3,6,77.9305416666667,141.732568166667,Secreted,∆eccCb1,1.89170769487163,2.15146965652747
MMAR_0005,gyrB,15,9,6,1122.88719555556,2632.96713333333,Secreted,∆eccCb1,3.05033612953978,3.42044543795109
MMAR_0006,gyrA,15,9,6,955.245867777778,6700.35226666667,Secreted,∆eccCb1,2.98011516768451,3.82609763605125
MMAR_0009,MMAR_0009,6,3,3,179.89955,154.271861333333,Secreted,∆eccCb1,2.25503007700447,2.18828671943917
MMAR_0010,MMAR_0010,15,9,6,807.634818444444,1869.48632333333,Secreted,∆eccCb1,2.90721503381337,3.27172229231849
MMAR_0011,ppiA,15,9,6,164700.249555556,488647.086666667,Secreted,∆eccCb1,5.21669425721783,5.68899531383309
MMAR_0015,trpG,6,3,3,80.854109,736.96358,Secreted,∆eccCb1,1.90770209561757,2.86744602599222
MMAR_0020,pstP,15,9,6,1821.32305555556,5461.48571666667,Secreted,∆eccCb1,3.26038698522462,3.73731080218793
MMAR_0021,MMAR_0021,6,3,3,510.605883333333,161.126736666667,Secreted,∆eccCb1,2.70808581455065,2.2071676113277
MMAR_0022,MMAR_0022,15,9,6,7726.61254444444,40967.7803333333,Secreted,∆eccCb1,3.88798913483741,4.61244243417283
MMAR_0025,MMAR_0025,6,3,3,368.700173333333,1729.82063333333,Secreted,∆eccCb1,2.5666733417767,3.23800107307557
MMAR_0026,MMAR_0026,3,0,3,NA,89.1982366666667,Secreted,∆eccCb1,0,1.95035626902292
MMAR_0030,MMAR_0030,3,0,3,NA,297.30128,Secreted,∆eccCb1,0,2.47319677901907
MMAR_0036,MMAR_0036,15,9,6,8086.49181111111,31932.087,Secreted,∆eccCb1,3.9077601510907,4.50422730384994
MMAR_0039,MMAR_0039,15,9,6,2172.00501111111,7637.72993333333,Secreted,∆eccCb1,3.33686082289443,3.88296429785287
MMAR_0040,MMAR_0040,9,3,6,83.0566133333333,124.960307666667,Secreted,∆eccCb1,1.91937421860348,2.09677208581757
MMAR_0051,MMAR_0051,15,9,6,520.327922222222,2925.76363333333,Secreted,∆eccCb1,2.71627713195342,3.46623923741285
MMAR_0056,mtc28,15,9,6,6807.08165555556,23675.0953333333,Secreted,∆eccCb1,3.83296096029235,4.37429173646759
MMAR_0057,leuS,15,9,6,6239.08784444444,19146.5261666667,Secreted,∆eccCb1,3.7951211004066,4.28208998961006
MMAR_0058,MMAR_0058,12,6,6,700.43895,3372.54521666667,Secreted,∆eccCb1,2.84537028832479,3.52795778109181
MMAR_0062,MMAR_0062,9,6,3,2365.926965,1210.1243,Secreted,∆eccCb1,3.3740013340421,3.08282998191276
